address,listing_dates,CRMLS_ID,Event,price
638 The Strand ,"Sep 22, 2017,Sep 22, 2017,Aug 16, 2017,Jul 17, 2017,Jul 17, 2017,Jul 5, 2011,Jul 5, 2011,May 19, 2011,Apr 30, 2011,Apr 30, 1998,Feb 5, 1998","CRMLS #SB17162847,Public Records,CRMLS #SB17162847,CRMLS #SB17162847,CRMLS #SB17162847,CRMLS #S11054328,Public Records,CRMLS #S11054328,CRMLS #S11054328,Public Records,CRMLS #S142201","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Price Changed,Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending,Listed (Active),Sold (Public Records),Listed","$3,725,000,$3,632,000,$4,490,000,$4,900,000,$1,560,000,$1,539,000,$1,599,000,$715,000,**"
2654 The Strand ,"Oct 17, 2017,Oct 17, 2017,Oct 17, 2017,Aug 4, 1975","CRMLS #OC17238177,CRMLS #OC17238177,Public Records,Public Records","Sold (MLS) (Closed Sale),Listed (Active),Sold (Public Records),Sold (Public Records)","$9,200,000,$9,200,000,$9,200,000,$180,000"
2411 Prospect Ave #310 ,"Nov 8, 2017,Nov 8, 2017,Oct 11, 2017,Sep 22, 2017,Sep 7, 2017,Jun 28, 2013,Jun 28, 2013,Jun 25, 2013,Jan 15, 2013,Jan 7, 2013,Jul 1, 2005,Jun 27, 2003,Jun 9, 2000,Jun 21, 1993,Mar 16, 1990,Mar 16, 1990","CRMLS #SB17206001,Public Records,CRMLS #SB17206001,CRMLS #SB17206001,CRMLS #SB17206001,CRMLS #SB13002446,Public Records,CRMLS #SB13002446,CRMLS #SB13002446,CRMLS #SB13002446,Public Records,Public Records,Public Records,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Listed (Active),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$595,000,$595,000,$599,800,$395,000,$395,000,$349,900,$490,000,$327,000,$177,000,$165,000,$188,000,$188,000"
2411 Prospect Ave #103 ,"Dec 28, 2017,Dec 28, 2017,Nov 20, 2017,Nov 3, 2017,Oct 21, 2017,Oct 11, 2017,Oct 1, 2017,Nov 17, 2006,Nov 16, 2006,Sep 30, 2006,Jul 14, 2006,Jun 12, 2006,Dec 24, 1998,Feb 13, 1990,Feb 13, 1990","CRMLS #DW17225658,Public Records,CRMLS #DW17225658,CRMLS #DW17225658,CRMLS #DW17225658,CRMLS #DW17225658,CRMLS #DW17225658,Public Records,CRMLS #S929677,CRMLS #S926871,CRMLS #S929677,CRMLS #S926871,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Relisted (Active),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records),Sold (MLS),Delisted,Listed,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$593,000,$593,000,$598,000,$449,000,$449,000,$449,000,*,$168,000,$184,500,$184,500"
940 5th St ,"Apr 19, 2018,Apr 18, 2018,Apr 7, 2018,Apr 2, 2018,Mar 22, 2018,May 14, 2004","CRMLS #SB18062477,Public Records,CRMLS #SB18062477,CRMLS #SB18062477,CRMLS #SB18062477,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (Public Records)","$1,700,000,$1,700,000,$1,649,999,$1,150,000"
1707 Pacific Coast #408 ,"May 11, 2018,May 11, 2018,Apr 30, 2018,Apr 12, 2018,Mar 29, 2018,Jul 13, 2016,Jul 13, 2016,Jun 8, 2016,Jun 3, 2016,Nov 16, 2007,Nov 9, 2007,Oct 15, 2007,Sep 4, 2007,Apr 21, 1998,Feb 2, 1998,Dec 4, 1995,Jun 20, 1995,Mar 7, 1989,Oct 23, 1987,Aug 1, 1983","CRMLS #PV18071683,Public Records,CRMLS #PV18071683,CRMLS #PV18071683,CRMLS #PV18071683,CRMLS #SB16119999,Public Records,CRMLS #SB16119999,CRMLS #SB16119999,CRMLS #S954059,Public Records,CRMLS #S954059,CRMLS #S954059,Public Records,CRMLS #S141987,CRMLS #S111960,CRMLS #S111960,Public Records,Public Records,Public Records","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Contingent (Active Under Contract),Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Delisted,Listed,Sold (Public Records),Listed,Delisted,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$540,010,$540,500,$519,900,$430,000,$430,000,$424,000,$415,000,$415,000,$440,000,$105,000,**,*,$116,000,$85,500,$74,000"
598 1st St ,"May 22, 2018,May 22, 2018,Apr 25, 2018,Mar 20, 2018,Mar 15, 2018,Feb 21, 2018,Feb 21, 2018,Jan 26, 2018,Jul 21, 2016,Jul 21, 2016,Jun 4, 2016,May 19, 2016,Dec 2, 2010,Nov 30, 2010,Nov 7, 2010,Sep 22, 2010,Sep 8, 2010,Aug 25, 2010,Apr 25, 2007,Jan 1, 2007,Jul 26, 1999,Jul 26, 1999,Jun 28, 1999,Jun 28, 1999","TheMLS #18-324998,Public Records,TheMLS #18-324998,TheMLS #18-324998,TheMLS #18-316094,TheMLS #18-301404,TheMLS #18-316094,TheMLS #18-301404,CRMLS #SB16106817,Public Records,CRMLS #SB16106817,CRMLS #SB16106817,Public Records,CRMLS #S10090988,CRMLS #S10090988,CRMLS #S10090988,CRMLS #S10090988,CRMLS #S10090988,CRMLS #S936575,CRMLS #S936575,CRMLS #V21906,CRMLS #V21907,CRMLS #V21906,CRMLS #V21907","Sold (MLS) (Closed),Sold (Public Records),Pending (Backup Offers Accepted),Listed (Active),Delisted (Withdrawn),Delisted (Cancelled),Listed (Active),Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active),Sold (Public Records),Delisted (Cancelled),Pending (Backup Offers Accepted),Price Changed,Price Changed,Listed (Active),Delisted,Listed,Delisted,Delisted,Listed,Listed","$1,385,000,$1,385,000,$1,495,000,*,*,$1,410,000,$1,410,000,$1,420,000,$900,000,*,*,*,*,*,*"
917 24th St ,"May 23, 2018,May 23, 2018,Apr 17, 2018,Mar 27, 2018,Jan 10, 1997,Dec 6, 1996,Jul 28, 1995,Jul 28, 1994,Sep 8, 1983","TheMLS #18-314188,Public Records,TheMLS #18-314188,TheMLS #18-314188,CRMLS #S123864,CRMLS #S123864,CRMLS #S106417,CRMLS #S106417,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending (Backup Offers Accepted),Listed (Active),Delisted,Listed,Delisted,Listed,Sold (Public Records)","$1,305,000,$1,305,000,$1,390,000,*,*,$262,000"
517 Prospect Ave ,"Jun 12, 2018,Apr 30, 2018,Apr 16, 2018,Mar 15, 2018,Jan 31, 2018,Jan 11, 2018,Jan 9, 2018,Dec 28, 2017,Dec 20, 2017,Oct 30, 2017,Sep 15, 2017,Dec 22, 2014,May 12, 1977","CRMLS #SB17214164,CRMLS #SB17214164,CRMLS #SB17214164,CRMLS #SB17214164,CRMLS #SB17214164,CRMLS #SB17214164,CRMLS #SB17214164,CRMLS #SB17214164,Public Records,CRMLS #SB17214164,CRMLS #SB17214164,Public Records,Public Records","Sold (MLS) (Closed Sale),Pending (Pending Sale),Price Changed,Price Changed,Price Changed,Price Changed,Relisted (Active),Contingent (Active Under Contract),Sold (Public Records),Price Changed,Listed (Active),Sold (Public Records),Sold (Public Records)","$2,542,813,$2,599,000,$2,659,000,$2,699,000,$2,749,000,$2,835,000,$2,849,000,$2,899,000,$1,600,000,$135,000"
937 1st St Unit A ,"Nov 29, 2018,Nov 28, 2018,Oct 19, 2018,Sep 28, 2018,Sep 6, 2018,Sep 6, 2018,Aug 27, 2018,Jul 11, 2018,Feb 13, 2012,Feb 2, 2012,Sep 21, 2011,Jul 6, 2011,Jul 1, 2011,Mar 31, 2011,Jun 20, 2007,Jun 1, 2007,May 24, 2007,Apr 24, 2007,Aug 31, 2006,Jun 23, 2006,Jun 23, 2006,May 24, 2006,May 24, 2006,May 11, 2006,May 11, 2006,Apr 19, 2006,Apr 19, 2006,Mar 20, 2006,Mar 20, 2006,Feb 28, 2006,Jun 7, 2004,Mar 19, 2004,Mar 19, 2004,Mar 16, 2001,Oct 6, 1998,Sep 27, 1998,Jun 5, 1998,Mar 19, 1997","Public Records,CRMLS #SB18167456,CRMLS #SB18167456,CRMLS #SB18167456,CRMLS #SB18167456,CRMLS #SB18167456,CRMLS #SB18167456,CRMLS #SB18167456,CRMLS #S12015189,CRMLS #S12015189,CRMLS #V11086175,CRMLS #V11086175,CRMLS #V11040469,CRMLS #V11040469,CRMLS #S948090,CRMLS #S948090,CRMLS #S945620,CRMLS #S945620,CRMLS #S927834,CRMLS #S927834,CRMLS #S925360,CRMLS #S925360,CRMLS #S924306,CRMLS #S922591,CRMLS #S924306,CRMLS #S922591,CRMLS #S920504,CRMLS #S920504,CRMLS #S919141,CRMLS #S919141,CRMLS #S356004,CRMLS #S356004,Public Records,Public Records,CRMLS #S154419,CRMLS #S147929,CRMLS #S147929,CRMLS #S128203","Sold (Public Records),Sold (MLS) (Closed Sale),Pending (Pending Sale),Contingent (Active Under Contract),Relisted (Active),Price Changed,Delisted (Hold Do Not Show),Listed (Active),Delisted (Cancelled),Listed (Active),Delisted (Hold),Listed (Active),Delisted (Expired),Listed (Active),Delisted,Listed,Delisted,Listed,Delisted,Listed,Delisted,Listed,Delisted,Delisted,Listed,Listed,Delisted,Listed,Delisted,Listed,Listed,Price Changed,Sold (Public Records),Sold (Public Records),Listed,Delisted,Listed,Listed","$1,190,000,$1,190,000,$1,249,000,$1,299,000,*,*,*,*,*,*,*,*,*,*,*,**,**,$749,000,$569,000,**,*,**"
1918 The Strand ,"Dec 18, 2018,Dec 18, 2018,Dec 18, 2018,Dec 18, 2018,Dec 14, 2018,Oct 5, 2018,Sep 28, 2018,Sep 27, 2018,May 23, 2018,May 22, 2018,May 22, 2018,May 22, 2018,Oct 24, 2017,Oct 23, 2017,Oct 23, 2017,Oct 4, 2017,May 23, 2017,Feb 14, 2017","CRMLS #SB18235966,SDMLS #301841576,CRMLS #SB18122070,Public Records,CRMLS #SB18235966,CRMLS #SB18235966,CRMLS #SB17029805,CRMLS #SB18235966,CRMLS #SB18122070,CRMLS #SB17029805,SDMLS #301841576,CRMLS #SB18122070,CRMLS #SB17029805,CRMLS #SB17029805,CRMLS #SB17029805,CRMLS #SB17029805,CRMLS #SB17029805,CRMLS #SB17029805","Sold (MLS) (Closed Sale),Delisted,Delisted (Canceled),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Delisted (Canceled),Listed (Active),Price Changed,Relisted (Active),Listed,Listed (Active),Pending (Pending Sale),Delisted (Hold Do Not Show),Price Changed,Price Changed,Price Changed,Listed (Active)","$6,800,000,$6,800,000,$7,200,000,*,*,*,*,*,*,*"
1932 The Strand ,"Dec 21, 2018,Dec 5, 2018,Sep 27, 2018,Jun 26, 2018,May 17, 2018","CRMLS #SB18113489,CRMLS #SB18113489,CRMLS #SB18113489,CRMLS #SB18113489,CRMLS #SB18113489","Sold (MLS) (Closed Sale),Pending (Pending Sale),Price Changed,Price Changed,Listed (Active)","$10,500,000,$11,950,000,$12,950,000,$13,200,000"
18 5th St ,"Jan 11, 2019,Jan 11, 2019,Jan 6, 2019,Nov 25, 2018,Oct 2, 2018,Sep 4, 2018,Jun 21, 2018,Apr 30, 2013,Apr 26, 2013,Mar 30, 2013,Mar 11, 2013,Nov 9, 2012,Sep 12, 2012,Sep 7, 2012,Jul 13, 2012,Jul 13, 2012,Jul 17, 2009,Jul 17, 2009,Feb 28, 2009,Jan 30, 2009,Jan 26, 2009,Jan 26, 2009,Jan 13, 2009,Jan 13, 2009,Jan 9, 2009,Dec 17, 2008,Dec 16, 2008,Dec 4, 2008,Oct 22, 2008,Sep 3, 2008,Aug 21, 2008,Jul 29, 2008,Jul 15, 2008,Jul 14, 2008,Jul 14, 2008,Jul 12, 2008,Jul 7, 2008,Mar 20, 2008,Mar 3, 2008","CRMLS #SB18157510,Public Records,CRMLS #SB18157510,CRMLS #SB18157510,CRMLS #SB18157510,CRMLS #SB18157510,CRMLS #SB18157510,CRMLS #SB13040732,Public Records,CRMLS #SB13040732,CRMLS #SB13040732,CRMLS #S12114109,CRMLS #S12114109,CRMLS #S12087586,CRMLS #S12087586,CRMLS #S12087586,CRMLS #S08101024,Public Records,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101024,CRMLS #S08101025,CRMLS #S08101025,CRMLS #S08101024,CRMLS #S08032061,CRMLS #S08032061,CRMLS #S08032061,CRMLS #S08032061","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Price Changed,Price Changed,Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Pending (Backup Offers Accepted),Listed (Active),Delisted (Cancelled),Listed (Active),Delisted (Cancelled),Price Changed,Listed (Active),Sold (MLS) (Closed),Sold (Public Records),Delisted,Contingent,Relisted,Delisted,Relisted,Delisted,Price Changed,Price Changed,Price Changed,Relisted,Contingent,Price Changed,Price Changed,Price Changed,Delisted,Listed,Listed,Delisted,Contingent,Delisted,Listed","$3,400,000,$3,400,000,$3,699,999,$3,749,999,$3,899,000,$2,099,000,$2,099,000,$2,099,000,*,*,*,$1,300,000,$1,300,000,$1,599,000,$1,650,000,$1,699,000,$1,799,000,$1,869,000,$1,899,000,*,$1,950,000,*"
107 24th St ,"Jan 28, 2019,Jan 24, 2019,Jan 15, 2019,Dec 18, 2018,Oct 4, 2018,Sep 14, 2018,May 25, 2018,Jan 8, 2015,Jan 8, 2015,Oct 27, 2014,Oct 20, 2014","CRMLS #SB18241912,Public Records,CRMLS #SB18241912,CRMLS #SB18241912,CRMLS #SB18241912,CRMLS #SB18113785,CRMLS #SB18113785,CRMLS #SB14224663,Public Records,CRMLS #SB14224663,CRMLS #SB14224663","Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Contingent (Active Under Contract),Listed (Active),Delisted (Hold Do Not Show),Listed (Active),Sold (MLS) (Closed Sale),Sold (Public Records),Pending (Pending Sale),Listed (Active)","$7,325,000,$7,325,000,$7,500,000,*,$2,760,000,$2,760,000,$2,000,000"
1824 Pacific Coast Hwy ,"Feb 5, 2019,Dec 31, 2018,Oct 20, 2018,Sep 30, 2018,Jun 13, 2018,Apr 10, 2018,Mar 14, 2018,Feb 19, 2018,Oct 30, 2017","CRMLS #SB18255298,CRMLS #SB18255298,CRMLS #SB18255298,CRMLS #SB18140585,CRMLS #SB18140585,CRMLS #SB18004558,CRMLS #SB18004558,CRMLS #SB18004558,CRMLS #SB18004558","Sold (MLS) (Closed Sale),Contingent (Active Under Contract),Listed (Active),Delisted (Expired),Listed (Active),Delisted (Canceled),Price Changed,Price Changed,Listed (Active)","$1,625,000,$1,659,000,*,*,*,*"
121 Longfellow Ave ,"Feb 15, 2013,Feb 15, 2013,Feb 15, 2013,Jul 9, 1971","CRMLS #SB13024639,CRMLS #SB13024639,Public Records,Public Records","Sold (MLS) (Closed),Listed (Active),Sold (Public Records),Sold (Public Records)","$1,275,000,$1,300,000,$1,275,000,$45,000"
849 19th St ,"Mar 8, 2011,Mar 8, 2011,Dec 22, 2010,Nov 11, 2010,Nov 8, 2010,Nov 8, 2010,Oct 21, 2010,Sep 18, 2010,Aug 26, 2010,Jul 1, 2010,Jun 15, 2010,May 8, 2010,Apr 28, 2006,Apr 28, 2006,Mar 16, 2006,Apr 23, 1976","CRMLS #S10091569,Public Records,CRMLS #S10091569,CRMLS #S10091569,CRMLS #S10091569,CRMLS #S10091569,CRMLS #S10091569,CRMLS #S10091569,CRMLS #S10091569,CRMLS #S10049631,CRMLS #S10049631,CRMLS #S10049631,CRMLS #S920343,Public Records,CRMLS #S920343,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Price Changed (Active),Relisted (Active),Delisted (Hold),Price Changed,Listed (Active),Delisted (Withdrawn),Price Changed,Listed (Active),Sold (MLS),Sold (Public Records),Listed,Sold (Public Records)","$1,275,000,$1,275,000,$1,200,000,$1,325,000,$1,600,000,*,*,$725,000,$725,000,$725,000,$47,000"
2012 Springfield Ave ,"Jun 2, 2011,Jun 2, 2011,Jun 2, 2011,May 30, 2011,Jan 20, 2011,Jan 8, 2011,Feb 7, 2005,Jan 30, 2005,Nov 10, 2004","CRMLS #S11002601,CRMLS #S11002601,Public Records,CRMLS #S11002601,CRMLS #S11002601,CRMLS #S11002601,Public Records,CRMLS #Z371999,CRMLS #Z371999","Delisted,Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Listed (Active),Sold (Public Records),Sold (MLS),Listed","$620,000,$620,000,$599,000,$900,000,$880,000,$880,000"
1004 2nd St ,"Jun 3, 2011,Jun 3, 2011,May 12, 2011,Apr 21, 2011,Dec 22, 2004,Apr 5, 2001,Feb 25, 2001,Jan 19, 1995,Nov 9, 1994,Dec 10, 1993,Aug 4, 1983","CRMLS #S11050570,Public Records,CRMLS #S11050570,CRMLS #S11050570,Public Records,Public Records,CRMLS #V28710,Public Records,CRMLS #S108003,Public Records,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending (Backup Offers Accepted),Listed (Active),Sold (Public Records),Sold (Public Records),Listed,Sold (Public Records),Listed,Sold (Public Records),Sold (Public Records)","$930,000,$930,000,$950,000,$998,000,$541,500,**,$335,000,**,$270,000,$200,000"
1085 Aviation Blvd ,"Jun 30, 2011,Dec 10, 2009,Sep 22, 2009","CRMLS #S09102152,CRMLS #S09102152,CRMLS #S09102152","Sold (MLS) (Closed),Pending (Backup Offers Accepted),Listed (Active)","$979,000"
2411 Prospect Ave #127 ,"Sep 11, 2017,Sep 6, 2017,Aug 25, 2017,Aug 18, 2017,Oct 13, 2011,Aug 16, 2011,Jul 27, 2011,Mar 11, 2010,Oct 24, 2009,Oct 4, 2009,Sep 25, 2009,Oct 4, 2007,Aug 23, 2007,Jul 22, 2007,Aug 18, 2006,Aug 11, 2006,Jun 20, 2006,Jun 20, 2006,May 3, 2006,May 13, 2002,Jul 17, 1998,May 11, 1998,May 7, 1998,Feb 9, 1998,Mar 28, 1990,Apr 27, 1984","TheMLS #17-262214,TheMLS #17-262214,TheMLS #17-262214,TheMLS #17-262214,CRMLS #S11097677,CRMLS #S11097677,CRMLS #S11097677,CRMLS #S09103586,CRMLS #S09103586,CRMLS #S09103586,CRMLS #S09103586,CRMLS #S951353,CRMLS #S951353,CRMLS #S951353,Public Records,CRMLS #S927478,CRMLS #S923721,CRMLS #S927478,CRMLS #S923721,Public Records,Public Records,CRMLS #S142290,CRMLS #S146557,CRMLS #S142290,Public Records,Public Records","Delisted (Cancelled),Price Changed,Price Changed,Listed (Active),Sold (MLS) (Closed),Pending,Listed (Active),Delisted (Withdrawn),Pending (Backup Offers Accepted),Contingent (Active Under Contract),Listed (Active),Delisted,Price Changed,Listed,Sold (Public Records),Sold (MLS),Delisted,Listed,Listed,Sold (Public Records),Sold (Public Records),Delisted,Listed,Listed,Sold (Public Records),Sold (Public Records)","*,*,*,$331,000,$324,900,*,*,*,$481,954,$467,500,$479,000,*,$235,000,$140,000,**,*,$170,000,$101,500"
2411 Prospect Ave #115 ,"Feb 15, 2012,Dec 16, 2011,Nov 26, 2011,Oct 13, 2011,Oct 4, 2011,Sep 30, 2011,Jun 3, 2011,Mar 30, 2011,Feb 25, 2011,Jan 21, 2011,Dec 16, 2010,Nov 5, 2010,Oct 18, 2010,Oct 2, 2010,Apr 13, 2006,Apr 6, 2006,Feb 9, 2006,Mar 9, 2004,Jan 11, 2004,Jun 24, 2003,Apr 6, 2003,Apr 6, 2003,Apr 5, 2003,Apr 2, 2003,Jul 23, 1976","CRMLS #S11153177,CRMLS #S11153177,CRMLS #S11153177,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,TheMLS #10-482429,CRMLS #S917868,Public Records,CRMLS #S917868,Public Records,CRMLS #S338724,Public Records,CRMLS #S338724,CRMLS #S338724,CRMLS #S338724,Public Records,Public Records","Sold (MLS) (Closed),Pending,Listed (Active),Delisted (Cancelled),Price Changed,Price Changed,Price Changed,Price Changed,Price Changed,Price Changed,Price Changed,Price Changed,Price Changed,Listed (Active),Sold (MLS),Sold (Public Records),Listed,Sold (Public Records),Listed,Sold (Public Records),Price Changed,Price Changed,Price Changed,Sold (Public Records),Sold (Public Records)","$323,000,$327,375,*,*,*,*,*,*,*,*,*,*,$519,000,$519,000,$519,000,$390,000,**,$325,000,**,**,**,$275,000,$31,000"
2220 Hillcrest Dr ,"Mar 20, 2012,Mar 20, 2012,Mar 6, 2012,Feb 17, 2012,Jan 23, 2012,Jun 13, 2007,Jun 12, 2007,May 24, 2007,May 10, 2007,Nov 6, 1987,Sep 30, 1983,Jun 18, 1981","CRMLS #S12009948,Public Records,CRMLS #S12009948,CRMLS #S12009948,CRMLS #S12009948,Public Records,CRMLS #S946735,CRMLS #S946735,CRMLS #S946735,Public Records,Public Records,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Pending (Backup Offers Accepted),Listed (Active),Sold (Public Records),Sold (MLS) (Closed Sale),Delisted,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,020,000,$1,020,000,$1,110,000,$1,284,000,$1,284,000,$1,299,122,$280,000,$206,500,$260,000"
1534 PROSPECT Ave W ,"Apr 4, 2012,Apr 4, 2012,Feb 19, 2012,Dec 10, 2011,Dec 10, 2011,Nov 10, 2011,Jun 13, 2011,Sep 8, 1976","CRMLS #S681946,Public Records,CRMLS #S681946,CRMLS #S681946,CRMLS #S11074889,CRMLS #S11074889,CRMLS #S11074889,Public Records","Sold (MLS) (Closed),Sold (Public Records),Pending,Listed (Active),Delisted (Expired),Price Changed,Listed (Active),Sold (Public Records)","$760,000,$760,000,$799,000,*,*,$82,000"
1600 Ardmore Ave #309 ,"May 7, 2012,Mar 28, 2012,Mar 7, 2012,Feb 5, 2002","CRMLS #S12030588,CRMLS #S12030588,CRMLS #S12030588,Public Records","Sold (MLS) (Closed),Pending,Listed (Active),Sold (Public Records)","$449,000,$469,000,$225,000"
1720 Ardmore Ave #318 ,"May 18, 2012,May 17, 2012,Mar 23, 2012,Feb 7, 2012,Aug 25, 1997","CRMLS #S12016954,Public Records,CRMLS #S12016954,CRMLS #S12016954,CRMLS #S135628","Sold (MLS) (Closed),Sold (Public Records),Pending,Listed (Active),Listed","$335,000,$335,000,$360,000,**"
935 1st St Unit B ,"Jun 22, 2012,Jun 22, 2012,Jun 22, 2012,Apr 27, 2012,Apr 17, 2012,Apr 13, 2012,Apr 5, 2012,Mar 27, 2012,Mar 21, 2012,Mar 21, 2012,Jan 20, 2012,Jan 12, 2012,Jan 3, 2012,Jan 2, 2012,Dec 17, 2011,Nov 11, 2011,Oct 11, 2011,Aug 22, 2011,Aug 4, 2011,Oct 6, 1998","CRMLS #S12000774,CRMLS #S12000774,Public Records,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S12000774,CRMLS #S11102058,CRMLS #S11102058,CRMLS #S11102058,CRMLS #S11102058,CRMLS #S11102058,CRMLS #S11102058,CRMLS #S154429","Delisted,Sold (MLS) (Closed),Sold (Public Records),Pending,Price Changed,Price Changed,Price Changed,Price Changed,Price Changed (Active),Relisted (Active),Pending (Backup Offers Accepted),Price Changed,Listed (Active),Delisted (Cancelled),Price Changed,Price Changed,Price Changed,Price Changed,Listed (Active),Listed","$700,000,$690,000,$725,000,$729,000,$749,000,$769,000,$789,000,$699,000,$729,000,*,*,*,*,*,**"
1829 MANHATTAN Ave ,"Jul 31, 2012,Jul 7, 2012,May 1, 2012,Apr 13, 2012,Jul 10, 2003,Jul 8, 2003,May 28, 2003,Apr 29, 2003,Mar 28, 2003,Mar 21, 1978,Jul 2, 1974","CRMLS #P818636,CRMLS #P818636,CRMLS #P818636,CRMLS #P818636,Public Records,Public Records,TheMLS #03-017849,CRMLS #Z342770,TheMLS #03-017849,Public Records,Public Records","Sold (MLS) (Closed),Pending,Pending (Backup Offers Accepted),Listed (Active),Sold (Public Records),Sold (Public Records),Delisted,Listed,Listed,Sold (Public Records),Sold (Public Records)","$2,295,000,$2,295,000,$818,190,$900,000,**,**,$139,000,$45,000"
2411 Prospect Ave #113 ,"Sep 17, 2012,Aug 7, 2012,Aug 6, 2012,Aug 2, 2012,Aug 20, 2004,Aug 20, 2004,Aug 20, 2004,Aug 19, 2004,Jul 28, 2004,Jun 26, 2000,Jun 26, 2000,Jun 21, 2000,Mar 24, 2000,Feb 15, 2000,Oct 29, 1999,Apr 1, 1999,May 14, 1986","TheMLS #12-616583,TheMLS #12-616583,TheMLS #12-616583,TheMLS #12-616583,CRMLS #S364150,CRMLS #S364150,Public Records,CRMLS #S364150,CRMLS #S364150,CRMLS #S177337,CRMLS #S177337,Public Records,CRMLS #S175749,CRMLS #S175749,CRMLS #S177337,CRMLS #S177337,Public Records","Sold (MLS) (Closed),Pending (Backup Offers Accepted),Price Changed,Listed (Active),Price Changed,Price Changed,Sold (Public Records),Price Changed,Listed,Price Changed,Price Changed,Sold (Public Records),Delisted,Listed,Price Changed,Listed,Sold (Public Records)","$330,000,$299,900,$319,900,**,**,$435,000,**,**,**,**,$171,000,*,**,**,$103,000"
1825 Monterey Blvd ,"Nov 13, 2012,Nov 13, 2012,Nov 9, 2012,Mar 25, 2010,Mar 25, 2010,Feb 22, 2010,Feb 22, 2010,Jan 9, 2010,Jan 7, 2010,Aug 2, 2004,Jul 9, 2004,Jun 17, 2004,May 17, 2004,Jul 1, 2003,Jan 29, 2003,May 22, 1967","CRMLS #SB12139806,CRMLS #SB12139806,Public Records,CRMLS #S10002845,CRMLS #S10001911,CRMLS #S10002845,CRMLS #S10001911,CRMLS #S10002845,CRMLS #S10001911,CRMLS #S357848,CRMLS #S357848,CRMLS #S357848,Public Records,Public Records,Public Records,Public Records","Sold (MLS),Listed,Sold (Public Records),Delisted (Hold),Delisted (Hold),Price Changed,Price Changed,Listed (Active),Listed (Active),Delisted,Price Changed,Listed,Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$1,500,000,$1,500,000,$1,500,000,*,*,*,*,**,**,$1,290,000,$850,000,$705,000,$35,000"
612 6TH St ,"Nov 16, 2012,Oct 8, 2012,Sep 14, 2012,Aug 31, 2012,Jul 14, 2005,Oct 22, 1998,Sep 21, 1990,Sep 12, 1984,Aug 18, 1983","CRMLS #P833679,CRMLS #P833679,CRMLS #P833679,CRMLS #P833679,Public Records,Public Records,Public Records,Public Records,Public Records","Sold (MLS) (Closed),Pending,Price Changed,Listed (Active),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records),Sold (Public Records)","$650,000,$734,900,$760,000,$825,000,$410,000,$322,000,$175,000,$222,500"
